"Začiatok vykazovania","Koniec vykazovania","Názov reklamy","Názov kampane","Doručovanie reklám",Spustenie,Koniec,"Rozpočet zostavy reklám","Typ rozpočtu zostavy reklám","Minutá suma (EUR)","Purchases conversion value","ROAS pre nákupy (Návratnosť reklamných výdavkov)",Nákupy,"Cena za jeden nákup (EUR)","Average purchases conversion value [Incremental attribution all conversions]","CPM (cena za 1000 impresií) (EUR)",Impresie,Dosah,Frekvencia,"Odchodové kliknutia","Cena za odchodové kliknutie (EUR)","Outbound CTR (click-through rate)","Jedinečné odchodové CTR (miera prekliknutia)","Pridania do košíka","Cena za pridanie do košíka (EUR)","Hodnota konverzie pridaní do košíka","Purchases rate per landing page views","Purchases rate per link clicks","Pozretia cieľovej stránky","Cena za pozretie cieľovej stránky (EUR)","Post engagements","Cena za interakciu s príspevkom (EUR)","Komentáre k príspevku","Uloženia príspevkov","Zdieľania príspevku"
2025-09-01,2025-09-30,exkluzivne_produkty,sanaplant_product_catalog,not_delivering,2025-03-27,Prebieha,"Using campaign budget",0,11.35,16.1,1.418502,2,5.675,8.05,2.384454,4760,2301,2.068666,63,0.180159,1.323529,1.955671,2,5.675,17.14,6.060606,3.125,33,0.343939,70,0.162143,,,
2025-09-01,2025-09-30,"All Products",sanaplant_product_catalog,inactive,2025-08-21,Prebieha,"Using campaign budget",0,111.36,548.81,4.928251,16,6.96,34.300625,2.071005,53771,7212,7.455768,816,0.136471,1.517547,6.30893,65,1.713231,9031.39,3.149606,1.886792,508,0.219213,937,0.118847,,3,1
2025-09-01,2025-09-30,"Aký bol váš najväčší pestovateľský objav v tejto sezóne?",sanaplant_boosting,not_delivering,2025-08-26,2025-09-09,30,Celkový,17.94,,,,,,2.059465,8711,4787,1.81972,1,17.94,0.01148,0.02089,,,,0,0,1,17.94,215,0.083442,2,,
2025-09-01,2025-09-30,"LeoHumin Organic",sanaplant_boosting_traffic,inactive,2025-09-02,2025-09-30,30,Celkový,29.98,,,,,,1.061051,28255,15505,1.822315,234,0.12812,0.828172,1.37375,1,29.98,,0,0,100,0.2998,265,0.113132,,1,2
2025-09-01,2025-09-30,"September v záhrade",sanaplant_boosting,not_delivering,2025-09-11,2025-09-25,15,Celkový,14.96,,,,,,1.312511,11398,7130,1.598597,249,0.06008,2.184594,2.847125,,,,0,0,41,0.364878,269,0.055613,1,4,1
2025-09-01,2025-09-30,"September v záhrade",sanaplant_boosting_traffic,inactive,2025-09-11,2025-09-25,15,Celkový,14.99,,,,,,1.139577,13154,8249,1.594618,304,0.049309,2.311084,3.176143,2,7.495,5.23,0,0,153,0.097974,309,0.048511,,1,
2025-09-01,2025-09-30,"All Products",sanaplant_product_catalog,not_delivering,2025-09-18,Prebieha,"Using campaign budget",0,93.31,132.38,1.418712,3,31.103333,44.126667,2.151537,43369,14971,2.896867,594,0.157088,1.369642,2.478124,30,3.110333,22281.41,0.879765,0.49505,341,0.273636,632,0.147642,,5,
2025-09-01,2025-09-30,"Živá pôda = zdravá úroda",sanaplant_boosting,not_delivering,2025-09-19,2025-09-30,15,Celkový,14.99,,,,,,4.240453,3535,2273,1.555213,5,2.998,0.141443,0.219974,2,7.495,644.24,0,0,2,7.495,193,0.077668,1,,1
2025-09-01,2025-09-30,"Septembrový tip pre silnejšie rastliny?",sanaplant_boosting_traffic,inactive,2025-09-24,2025-09-30,15,Celkový,14.94,,,,,,1.272572,11740,7230,1.62379,124,0.120484,1.056218,1.562932,,,,0,0,58,0.257586,133,0.112331,,2,
